source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
AGU,https://blogs.agu.org/landslideblog/2008/10/14/the-lifan-landslide-from-natural-disaster-to-cover-up/,684,08/01/2008 12:00:00 AM,,"Sigou Village, Loufan County, Shanxi Province","occurred early in morning, 11 villagers buried in 7 houses","Sigou Village, Loufan County, Shanxi Province",unknown,landslide,rain,large,mine,11,,,,,glc,684,China,CN,Shaanxi,0,Jingyang,41.02145,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,107.45,32.5625
Oregonian,http://www.oregonlive.com/news/index.ssf/2009/01/landslide_plows_through_lake_o.html,956,01/02/2009 02:00:00 AM,,"Lake Oswego, Oregon",Hours of heavy rain are to blame for an overnight mudslide in Lake Oswego. ,"Lake Oswego, Oregon",5km,mudslide,downpour,small,unknown,0,,,,,glc,956,United States,US,Oregon,36619,Lake Oswego,0.60342,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.663,45.42
CBS News,https://www.cbsnews.com/news/dozens-missing-after-peru-landslides/,973,01/19/2007 12:00:00 AM,,"San Ramon district, 195 miles northeast of the capital, Lima, ","(CBS/AP) At least 10 people died and as many as 80 were still missing Wednesday in central Peru after torrential rains swelled three rivers, forcing them over their banks and causing devastating landslides earlier in the week. ","San Ramon district, 195 miles northeast of the capital, Lima, ",10km,landslide,downpour,large,unknown,10,,,,,glc,973,Peru,PE,Junín,14708,San Ramón,0.85548,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-75.3587,-11.1295
Reuters,https://in.reuters.com/article/idINIndia-41450420090731,1067,07/31/2009 12:00:00 AM,,Dailekh district,"One person was killed in Dailekh district, police said.",Dailekh district,unknown,landslide,monsoon,medium,unknown,1,,,,,glc,1067,Nepal,NP,Mid Western,20908,Dailekh,0.75395,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,81.708,28.8378
The Freeman,http://www.philstar.com/cebu-news/621414/landslides-hit-upland-barangays,2603,10/16/2010 12:00:00 PM,,sitio Bakilid in barangay Lahug,"Another landslide in sitio Bakilid in barangay Lahug also left two families homeless. Lilibeth Magsuling was breastfeeding her two-month-old baby outside their house at 12 noon yesterday when she heard a loud blast behind her. She immediately hugged her baby boy and ran. When she looked back, she saw bamboo trees and soil covering her house. “It’s fortunate that we were outside the house. I was about to put my baby in the cradle inside the house,” she said. Elenit Villaflor was also outside her house in sitio Bakilid with her two-month-old baby when the landslide struck. ",sitio Bakilid in barangay Lahug,5km,landslide,tropical_cyclone,medium,unknown,0,,Supertyphoon Juan (Megi),,,glc,2603,Philippines,PH,Central Visayas,798634,Cebu City,2.02204,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.8978,10.3336
BusinessWorld Online,http://www.bworldonline.com/content.php?section=Nation&title=-death-toll-from-rains-rises-nationwide-floods-displace-hundreds-in-leyte&id=46961,4203,02/16/2012 12:00:00 AM,,"Paguite, Abuyog, Leyte","Thursday’s landslides were noted in Barangays Burubudan, Tadoc and Paguite in Abuyog; Barangays Pulahongon, Mahaplag, Leyte; and Barangay Kahupian, Sogod, Southern Leyte.","Paguite, Abuyog, Leyte",5km,landslide,downpour,medium,unknown,0,,,,,glc,4203,Philippines,PH,Eastern Visayas,2404,Balinsacayao,2.28967,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,124.9668,10.7004
The Spokesman-Review,http://www.spokesman.com/stories/2012/mar/31/flooding-reported-across-region/,4290,03/30/2012 12:00:00 AM,,"Pend Oreille County, State Route 20 near Usk, OR","In Pend Oreille County, a mudslide on State Route 20 near Usk forced Washington State Patrol to close the highway late Friday, then reduce traffic to one lane.","Pend Oreille County, State Route 20 near Usk, OR",5km,mudslide,downpour,small,unknown,0,,,,,glc,4290,United States,US,Washington,2126,Newport,19.97241,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-117.2665,48.2797
Crónica Diaria,http://www.cronica.com.mx/notas/2007/320673.html,225,09/02/2007 12:00:00 AM,,3 killed in Acapulco,"3 killed, including 2 children when rocks fell on their homes","calle Granjas, Ampliación Miguel de la Madrid, Acapulco",10km,complex,tropical_cyclone,medium,unknown,3,,Tropical Storm Henrietta,http://www.cronica.com.mx/oimagenes11/1/f94ae83365.jpg,,glc,225,Mexico,MX,Sinaloa,3191,El Limón de los Ramos,10.88351,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-107.622,24.9531
MagicValley.com,http://magicvalley.com/news/local/first-fires-now-mud/article_a1e57eb0-596b-5b44-8356-4e58e177aa12.html,236,09/05/2007 12:00:00 AM,,"Warm Springs Road, Idaho","5 feet deep mud, Hotshot crew was trapped while cleaning debris from fire","Warm Springs Road, Idaho",5km,mudslide,rain,medium,unknown,,,,,,glc,236,United States,US,Idaho,2689,Ketchum,4.51471,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-114.4194,43.6846
UPI,https://www.upi.com/Top_News/2008/11/05/China-mudslide-death-toll-put-at-40/80051225865638/,873,11/01/2008 12:00:00 AM,,"Lincang City, Yunnan, Yunnan-Tibet No. 214 highway.","The report said heavy rainfall since Oct. 24 had hit 13 cities and counties in the province, affecting about 1.3 million people. The worst hit by the mud flows was Chuxiong Yi region","Lincang City, Yunnan, Yunnan-Tibet No. 214 highway.",10km,complex,downpour,medium,unknown,2,,,,,glc,873,China,CN,Yunnan,0,Mengmeng,55.18512,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,100.0845,23.89
